time,com_x,com_y,r_com_x,r_com_y,cp_1_x,cp_1_y,cp_2_x,cp_2_y,cp_3_x,cp_3_y,cp_4_x,cp_4_y,r_cp_1_x,r_cp_1_y,r_cp_2_x,r_cp_2_y,r_cp_3_x,r_cp_3_y,r_cp_4_x,r_cp_4_y,st_icm_2,st_sp_2,st_raw_2,st_org_2,r_st_2,st_2,tan_sp_2,tan_icm_2,v_icm_2,v_sp_2,v_2,d_2
     0.1765,    0.077574, -0.00693442,   0.0782652,  -0.0069363,    0.480332,    0.223011,    0.482046,    -0.22033,   -0.634581,    0.222794,   -0.633081,   -0.220383,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0493829,           0,           0,   -0.068156,  -0.0679222,    0.293759,           0,           0,   -0.814422, 0.000814422,           0
     0.1815,   0.0775217, -0.00694095,   0.0782652,  -0.0069363,     0.48029,    0.223023,    0.482005,   -0.220318,   -0.634623,    0.222806,   -0.633123,   -0.220371,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0502323,           0,           0,  -0.0681424,  -0.0679088,     0.29128,           0,           0,   -0.839318, 0.000839318,           0
      0.186,   0.0775049, -0.00693032,   0.0782652,  -0.0069363,     0.48032,    0.223009,    0.482202,   -0.220323,   -0.634623,    0.222824,   -0.632975,   -0.220347,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0498835,           0,           0,  -0.0681216,  -0.0679663,    0.303222,           0,           0,   -0.869602, 0.000869602,           0
    0.19075,   0.0773971, -0.00693788,   0.0782652,  -0.0069363,    0.480287,     0.22302,    0.482169,   -0.220313,   -0.634656,    0.222835,   -0.633008,   -0.220336,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0504194,           0,           0,  -0.0681107,  -0.0679556,    0.301259,           0,           0,   -0.888615, 0.000888615,           0
     0.1955,   0.0774051,  -0.0069296,   0.0782652,  -0.0069363,    0.480308,    0.223004,    0.482377,   -0.220336,   -0.634644,     0.22285,   -0.632825,   -0.220324,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0485985,           0,           0,  -0.0680964,  -0.0680173,    0.313753,           0,           0,   -0.915439, 0.000915439,           0
    0.20075,   0.0773564, -0.00693681,   0.0782652,  -0.0069363,    0.480246,    0.223022,    0.482315,   -0.220318,   -0.634706,    0.222868,   -0.632887,   -0.220306,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0486986,           0,           0,  -0.0680699,  -0.0679912,    0.310054,           0,           0,   -0.929818, 0.000929818,           0
     0.2055,   0.0773136, -0.00692915,   0.0782652,  -0.0069363,    0.480287,    0.222999,    0.482541,   -0.220336,   -0.634664,    0.222884,   -0.632671,   -0.220286,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0469081,           0,           0,   -0.068055,  -0.0680612,     0.32359,           0,           0,   -0.954778, 0.000954778,           0
     0.2135,   0.0772418,  -0.0069121,   0.0782652,  -0.0069363,    0.480323,    0.222978,    0.482799,   -0.220361,   -0.634616,    0.222924,   -0.632417,   -0.220252,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0433545,           0,           0,  -0.0680211,  -0.0681416,    0.338794,           0,           0,   -0.989813, 0.000989813,           0
    0.22175,   0.0771418, -0.00690409,   0.0782652,  -0.0069363,    0.480221,    0.222993,    0.482697,   -0.220346,   -0.634718,    0.222939,   -0.632519,   -0.220237,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0422281,           0,           0,  -0.0679636,  -0.0680845,    0.332819,           0,           0,    -1.00585,  0.00100585,           0
    0.22975,   0.0771218, -0.00687854,   0.0782652,  -0.0069363,     0.48029,    0.222958,    0.483008,   -0.220378,   -0.634661,    0.222987,    -0.63223,   -0.220183,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,    0.038587,           0,           0,   -0.067917,  -0.0681479,     0.35104,           0,           0,    -1.03886,  0.00103886,           0
    0.23825,   0.0770816, -0.00686865,   0.0782652,  -0.0069363,    0.480212,    0.222961,     0.48293,   -0.220375,   -0.634739,    0.222991,   -0.632308,   -0.220179,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0366433,           0,           0,   -0.067868,  -0.0680991,    0.346505,           0,           0,    -1.05464,  0.00105464,           0
      0.244,   0.0770034, -0.00685618,   0.0782652,  -0.0069363,     0.48035,    0.222926,    0.483294,    -0.22041,   -0.634608,    0.223049,   -0.631952,   -0.220123,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0323052,           0,           0,  -0.0678493,  -0.0682411,     0.36758,           0,           0,    -1.09222,  0.00109222,           0
   0.24825,  0.0769307, -0.0068499,  0.0782652, -0.0069363,   0.480313,   0.222923,   0.483257,  -0.220413,  -0.634645,   0.223046,  -0.631989,  -0.220126,   0.477479,   0.222793,   0.477511,  -0.220554,  -0.631783,   0.222808,  -0.631891,  -0.220386,          0,  0.0294532,          0,          0, -0.0678221,  -0.068214,   0.365459,          0,          0,   -1.11316, 0.00111316,          0
    0.25375,   0.0768683, -0.00686192,   0.0782652,  -0.0069363,     0.48039,    0.222923,    0.483544,   -0.220418,   -0.634575,    0.223089,   -0.631697,   -0.220085,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0267864,           0,           0,  -0.0678132,  -0.0682784,    0.381902,           0,           0,    -1.14894,  0.00114894,           0
     0.2585,   0.0768233, -0.00687101,   0.0782652,  -0.0069363,    0.480417,    0.222929,    0.483723,   -0.220409,   -0.634545,    0.223102,   -0.631512,   -0.220068,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0254275,           0,           0,  -0.0678067,  -0.0682576,     0.39204,           0,           0,    -1.18567,  0.00118567,           0
    0.26325,   0.0767677, -0.00687142,   0.0782652,  -0.0069363,    0.480378,    0.222924,    0.483684,   -0.220414,   -0.634584,    0.223097,   -0.631551,   -0.220074,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0243122,           0,           0,  -0.0678028,  -0.0682536,    0.389835,           0,           0,    -1.20483,  0.00120483,           0
    0.26825,   0.0767167, -0.00687636,   0.0782652,  -0.0069363,     0.48045,    0.222941,    0.483925,     -0.2204,    -0.63451,     0.22312,   -0.631297,   -0.220053,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0241842,           0,           0,  -0.0678034,  -0.0682261,     0.40338,           0,           0,    -1.23638,  0.00123638,           0
      0.274,   0.0766715, -0.00687673,   0.0782652,  -0.0069363,    0.480397,     0.22293,    0.483871,    -0.22041,   -0.634563,    0.223109,    -0.63135,   -0.220063,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0235291,           0,           0,  -0.0677957,  -0.0682183,    0.400399,           0,           0,    -1.25079,  0.00125079,           0
    0.27975,    0.076591, -0.00689531,   0.0782652,  -0.0069363,    0.480412,    0.222931,    0.484053,   -0.220407,    -0.63453,    0.223125,   -0.631135,   -0.220047,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0230568,           0,           0,  -0.0677809,  -0.0681822,    0.410535,           0,           0,    -1.27459,  0.00127459,           0
    0.28475,   0.0765657, -0.00691713,   0.0782652,  -0.0069363,    0.480445,    0.222952,    0.484249,   -0.220388,   -0.634475,    0.223157,   -0.630906,   -0.220016,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0237133,           0,           0,  -0.0677781,  -0.0681599,    0.421317,           0,           0,    -1.30547,  0.00130547,           0
     0.2905,    0.076531, -0.00692038,   0.0782652,  -0.0069363,    0.480408,    0.222947,     0.48423,   -0.220393,   -0.634512,    0.223151,   -0.630922,   -0.220022,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,    0.023768,           0,           0,  -0.0677788,  -0.0681573,    0.420293,           0,           0,    -1.32172,  0.00132172,           0
      0.296,   0.0765129, -0.00693709,   0.0782652,  -0.0069363,    0.480467,    0.222968,    0.484434,   -0.220371,   -0.634459,    0.223166,   -0.630711,   -0.220007,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0249112,           0,           0,  -0.0677817,  -0.0681184,     0.43143,           0,           0,      -1.349,    0.001349,           0
     0.3015,   0.0764799, -0.00693607,   0.0782652,  -0.0069363,    0.480436,    0.222966,    0.484402,   -0.220373,   -0.634491,    0.223164,   -0.630742,   -0.220008,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0254938,           0,           0,  -0.0677902,   -0.068127,    0.429722,           0,           0,    -1.36175,  0.00136175,           0
      0.305,   0.0764914, -0.00695185,   0.0782652,  -0.0069363,    0.480471,    0.222988,    0.484583,    -0.22035,   -0.634458,    0.223166,   -0.630552,   -0.220005,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0269447,           0,           0,  -0.0678083,   -0.068075,    0.439511,           0,           0,     -1.3851,   0.0013851,           0
    0.30925,   0.0764914, -0.00695185,   0.0782652,  -0.0069363,    0.480471,    0.222988,    0.484583,    -0.22035,   -0.634458,    0.223166,   -0.630552,   -0.220005,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0277579,           0,           0,  -0.0678083,   -0.068075,    0.439511,           0,           0,    -1.39818,  0.00139818,           0
     0.3135,   0.0765255, -0.00697053,   0.0782652,  -0.0069363,      0.4805,    0.223026,    0.484777,   -0.220314,   -0.634438,    0.223165,   -0.630352,   -0.220007,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0300861,           0,           0,   -0.067823,  -0.0680032,    0.449978,           0,           0,    -1.42331,  0.00142331,           0
    0.31825,   0.0764921, -0.00696172,   0.0782652,  -0.0069363,    0.480485,    0.223024,    0.484762,   -0.220316,   -0.634453,    0.223163,   -0.630367,   -0.220009,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0312725,           0,           0,  -0.0678565,  -0.0680366,     0.44918,           0,           0,    -1.43575,  0.00143575,           0
    0.32325,   0.0764851, -0.00697183,   0.0782652,  -0.0069363,    0.480501,    0.223069,    0.484962,   -0.220269,   -0.634434,    0.223143,   -0.630152,   -0.220027,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0344662,           0,           0,  -0.0678769,  -0.0679427,    0.459816,           0,           0,    -1.46127,  0.00146127,           0
    0.32825,   0.0764462, -0.00696358,   0.0782652,  -0.0069363,    0.480478,    0.223075,    0.484939,   -0.220263,   -0.634457,    0.223148,   -0.630175,   -0.220021,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0366001,           0,           0,  -0.0679242,  -0.0679902,    0.458597,           0,           0,    -1.47288,  0.00147288,           0
     0.3335,   0.0764589, -0.00697776,   0.0782652,  -0.0069363,    0.480505,    0.223127,    0.485168,    -0.22021,   -0.634438,    0.223113,   -0.629952,   -0.220058,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0404628,           0,           0,  -0.0679503,  -0.0678696,     0.47068,           0,           0,     -1.5011,   0.0015011,           0
    0.33825,   0.0764128, -0.00698404,   0.0782652,  -0.0069363,    0.480491,    0.223131,    0.485154,   -0.220206,   -0.634452,    0.223117,   -0.629965,   -0.220054,    0.477479,    0.222793,    0.477511,   -0.220554,   -0.631783,    0.222808,   -0.631891,   -0.220386,           0,   0.0427799,           0,           0,  -0.0679751,  -0.0678945,    0.469995,           0,           0,    -1.51477,  0.00151477,           0
